id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
Colombia,Colombia,South America,4.570868,-74.297333,3,8,1,1986.3333333333333,1983.75,0
Mali,Mali,Sub-Saharan Africa,17.570692,-3.996166,3,6,1,2015.0,2015.0,0
Zimbabwe,Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,1,6,1,1981.0,1981.0,0
Saudi Arabia,Saudi Arabia,Middle East & North Africa,23.885942,45.079162,1,6,1,2017.0,2017.0,0
Belgium,Belgium,Western Europe,50.503887,4.469936,1,4,1,2012.0,2012.0,0
Switzerland,Switzerland,Western Europe,46.818188,8.227512,2,4,1,1984.0,1985.5,0
West Bank and Gaza Strip,West Bank and Gaza Strip,Middle East & North Africa,31.4379662528942,34.3827884511328,3,4,3,1997.3333333333333,1991.75,0
Burundi,Burundi,Sub-Saharan Africa,-3.373056,29.918886,1,3,1,1991.0,1991.0,0
Nicaragua,Nicaragua,Central America & Caribbean,12.865416,-85.207229,3,3,1,1978.6666666666667,1979.0,0
Kosovo,Kosovo,Eastern Europe,42.602636,20.902977,2,3,1,1999.5,1999.3333333333333,0
France,France,Western Europe,46.227638,2.213749,87,3,4,1990.655172413793,1990.3333333333333,0
Kyrgyzstan,Kyrgyzstan,Central Asia,41.20438,74.766098,1,3,1,2003.0,2003.0,0
Russia,Russia,Eastern Europe,61.52401,105.318756,2,3,2,2005.5,2011.0,0
Comoros,Comoros,Sub-Saharan Africa,-11.875001,43.872219,2,2,1,1997.0,1997.0,0
Taiwan,Taiwan,East Asia,23.69781,120.960515,1,0,1,2016.0,,0
Bhutan,Bhutan,South Asia,27.514162,90.433601,1,0,1,2014.0,,0
Guadeloupe,Guadeloupe,Central America & Caribbean,16.995971,-62.067641,1,0,1,1986.0,,0
Georgia,Georgia,Central Asia,42.315407,43.356892,1,0,1,1999.0,,0
Haiti,Haiti,Central America & Caribbean,18.971187,-72.285215,1,0,1,1997.0,,0
Chile,Chile,South America,-35.675147,-71.542969,1,0,1,1986.0,,0
Venezuela,Venezuela,South America,6.42375,-66.58973,1,0,1,1986.0,,0
Israel,Israel,Middle East & North Africa,31.046051,34.851612,1,0,1,1984.0,,0
Greece,Greece,Western Europe,39.074208,21.824312,1,0,1,1983.0,,0
Mozambique,Mozambique,Sub-Saharan Africa,-18.665695,35.529562,1,0,1,1982.0,,0
Italy,Italy,Western Europe,41.87194,12.56738,9,0,4,1985.3333333333333,,0
Portugal,Portugal,Western Europe,39.399872,-8.224454,1,0,1,1976.0,,0
Germany,Germany,Western Europe,51.165691,10.451526,2,0,1,1987.0,,0
